id_user,asistencia_webinars,clicks_bolsa_trabajo,situacion_laboral,clicks_marketing,profesion,recencia_interaccion,cliente_antiguo,ubicacion_region,tipo_entidad_interes,estado_postulacion_historica,compro_curso
HIST-132,0,18,sector_privado,alta,Administrador,161,0,Lima,Ministerios/Poder Ejecutivo,Finalista/Seleccionado,0
HIST-133,6,18,independiente,media,Abogado,156,1,Arequipa,Gobierno Regional,Finalista/Seleccionado,1
HIST-134,10,1,sector_privado,media,Profesor,10,1,Lima,Ministerios/Poder Ejecutivo,Solo visualizador,1
HIST-135,7,3,sector_privado,alta,Profesor,48,0,Otro,Gobierno Regional,Postulante frecuente,0
HIST-136,5,8,sector_publico,nula,Ingeniero,35,0,Callao,Organismos Autónomos,Finalista/Seleccionado,1
HIST-137,10,20,sector_privado,nula,Abogado,50,0,Piura,Ministerios/Poder Ejecutivo,Solo visualizador,0
HIST-138,9,7,sector_publico,alta,Profesor,3,0,Otro,Municipalidades,Postulante frecuente,1
HIST-139,0,1,independiente,media,Abogado,115,0,Callao,Otro,Postulante frecuente,0
HIST-140,4,8,sector_privado,media,Economista,81,1,Lima,Municipalidades,Otro,1
HIST-141,3,18,independiente,media,Contador,104,0,Otro,Otro,Finalista/Seleccionado,0
HIST-142,9,1,sector_publico,media,Economista,115,0,Callao,Organismos Autónomos,Finalista/Seleccionado,1
HIST-143,4,12,independiente,alta,Abogado,3,0,Cusco,Gobierno Regional,Finalista/Seleccionado,1
HIST-144,3,0,independiente,media,Arquitecto,46,1,Otro,Municipalidades,Postulante frecuente,1
HIST-145,2,15,independiente,media,Arquitecto,2,0,Lima,Organismos Autónomos,Postulante frecuente,0
HIST-146,8,10,sector_privado,media,Medico,91,0,Piura,Ministerios/Poder Ejecutivo,Otro,0
HIST-147,10,17,sector_privado,media,Economista,169,1,Lima,Gobierno Regional,Finalista/Seleccionado,1
HIST-148,1,20,independiente,alta,Otro,29,0,Arequipa,Municipalidades,Solo visualizador,0
HIST-149,7,14,sector_publico,media,Arquitecto,24,1,Callao,Ministerios/Poder Ejecutivo,Finalista/Seleccionado,1
HIST-150,5,15,sector_publico,alta,Economista,14,0,Otro,Ministerios/Poder Ejecutivo,Solo visualizador,1
HIST-151,8,3,sector_publico,alta,Arquitecto,97,0,Lima,Municipalidades,Solo visualizador,1
HIST-152,8,18,sector_privado,nula,Contador,139,1,Cusco,Otro,Postulante frecuente,1
HIST-153,7,11,sector_privado,alta,Medico,59,1,Arequipa,Organismos Autónomos,Finalista/Seleccionado,1
HIST-154,7,4,independiente,media,Economista,15,1,Otro,Otro,Finalista/Seleccionado,0
HIST-155,9,17,sector_privado,media,Profesor,78,1,Arequipa,Otro,Otro,1
HIST-156,7,19,sector_privado,media,Economista,170,0,Arequipa,Organismos Autónomos,Postulante frecuente,1
HIST-157,2,16,sector_publico,nula,Abogado,48,1,Arequipa,Otro,Finalista/Seleccionado,0
HIST-158,7,16,sector_privado,media,Otro,130,1,Piura,Ministerios/Poder Ejecutivo,Otro,1
HIST-159,3,9,sector_privado,nula,Contador,6,1,Otro,Otro,Solo visualizador,1
HIST-160,5,14,sector_privado,alta,Administrador,95,0,Piura,Ministerios/Poder Ejecutivo,Postulante frecuente,1
HIST-161,0,6,sector_publico,nula,Contador,133,1,Lima,Organismos Autónomos,Solo visualizador,0
HIST-162,1,7,sector_publico,nula,Otro,36,0,Otro,Municipalidades,Otro,0
HIST-163,7,2,sector_privado,nula,Administrador,150,1,Otro,Gobierno Regional,Finalista/Seleccionado,1
HIST-164,10,8,independiente,nula,Arquitecto,124,1,Otro,Ministerios/Poder Ejecutivo,Postulante frecuente,1
HIST-165,9,9,sector_publico,nula,Otro,150,0,Lima,Organismos Autónomos,Postulante frecuente,1
HIST-166,1,8,independiente,nula,Economista,24,0,Arequipa,Organismos Autónomos,Solo visualizador,0
HIST-167,0,8,sector_publico,media,Abogado,155,1,Otro,Gobierno Regional,Finalista/Seleccionado,0
HIST-168,6,8,sector_privado,nula,Arquitecto,120,1,Cusco,Otro,Solo visualizador,1
HIST-169,10,9,independiente,media,Medico,50,1,Lima,Otro,Finalista/Seleccionado,1
HIST-170,5,15,sector_privado,nula,Profesor,156,0,Callao,Ministerios/Poder Ejecutivo,Finalista/Seleccionado,0
HIST-171,1,18,independiente,alta,Profesor,30,0,Otro,Otro,Otro,0
HIST-172,1,4,sector_publico,media,Arquitecto,104,0,Cusco,Ministerios/Poder Ejecutivo,Postulante frecuente,0
HIST-173,10,5,sector_publico,nula,Medico,146,1,Otro,Municipalidades,Finalista/Seleccionado,1
HIST-174,4,9,sector_privado,nula,Administrador,62,0,Piura,Organismos Autónomos,Otro,0
HIST-175,1,17,sector_privado,media,Administrador,116,1,Callao,Municipalidades,Otro,0
HIST-176,6,2,sector_privado,alta,Otro,128,1,Cusco,Gobierno Regional,Postulante frecuente,1
HIST-177,0,9,sector_privado,nula,Profesor,124,0,Arequipa,Ministerios/Poder Ejecutivo,Finalista/Seleccionado,0
HIST-178,1,6,independiente,alta,Administrador,89,1,Arequipa,Organismos Autónomos,Finalista/Seleccionado,0
HIST-179,0,3,sector_privado,media,Profesor,128,0,Callao,Municipalidades,Solo visualizador,0
HIST-180,1,16,sector_publico,nula,Medico,64,0,Piura,Gobierno Regional,Finalista/Seleccionado,0
HIST-181,3,9,sector_privado,media,Abogado,101,1,Arequipa,Municipalidades,Finalista/Seleccionado,1
HIST-182,8,18,sector_privado,nula,Arquitecto,132,0,Cusco,Gobierno Regional,Finalista/Seleccionado,0
HIST-183,3,11,sector_publico,alta,Contador,164,0,Otro,Organismos Autónomos,Finalista/Seleccionado,1
HIST-184,9,3,sector_publico,media,Economista,154,1,Otro,Otro,Solo visualizador,1
HIST-185,0,19,independiente,nula,Medico,66,1,Arequipa,Gobierno Regional,Postulante frecuente,0
HIST-186,2,19,independiente,nula,Economista,123,1,Callao,Organismos Autónomos,Postulante frecuente,0
HIST-187,5,16,independiente,media,Administrador,168,1,Otro,Gobierno Regional,Otro,1
HIST-188,3,8,sector_publico,nula,Ingeniero,74,1,Arequipa,Gobierno Regional,Finalista/Seleccionado,1
HIST-189,2,7,independiente,media,Contador,58,1,Arequipa,Ministerios/Poder Ejecutivo,Finalista/Seleccionado,0
HIST-190,0,5,independiente,media,Ingeniero,114,0,Otro,Municipalidades,Otro,0
HIST-191,7,0,sector_publico,alta,Ingeniero,89,0,Piura,Gobierno Regional,Postulante frecuente,0
HIST-192,1,7,sector_publico,media,Administrador,105,1,Cusco,Otro,Solo visualizador,0
HIST-193,2,16,independiente,media,Administrador,156,0,Callao,Organismos Autónomos,Solo visualizador,0
HIST-194,7,6,independiente,nula,Economista,79,1,Arequipa,Organismos Autónomos,Postulante frecuente,1
HIST-195,7,11,independiente,media,Abogado,49,0,Piura,Gobierno Regional,Finalista/Seleccionado,0
HIST-196,7,0,independiente,alta,Medico,128,1,Lima,Ministerios/Poder Ejecutivo,Postulante frecuente,1
HIST-197,1,20,independiente,nula,Arquitecto,103,0,Callao,Organismos Autónomos,Solo visualizador,0
HIST-198,10,20,sector_privado,media,Contador,146,0,Arequipa,Otro,Finalista/Seleccionado,0
HIST-199,10,14,independiente,nula,Otro,13,1,Cusco,Organismos Autónomos,Otro,1
HIST-200,3,14,sector_publico,alta,Medico,156,1,Otro,Organismos Autónomos,Postulante frecuente,1
HIST-201,1,18,independiente,media,Contador,102,1,Callao,Gobierno Regional,Finalista/Seleccionado,0
HIST-202,10,7,independiente,alta,Ingeniero,178,0,Callao,Municipalidades,Postulante frecuente,1
HIST-203,3,11,independiente,nula,Profesor,142,1,Piura,Ministerios/Poder Ejecutivo,Finalista/Seleccionado,1
HIST-204,0,16,sector_publico,alta,Profesor,180,0,Otro,Municipalidades,Postulante frecuente,0
HIST-205,7,13,sector_privado,media,Medico,18,0,Cusco,Ministerios/Poder Ejecutivo,Otro,0
HIST-206,10,11,independiente,nula,Administrador,69,0,Cusco,Organismos Autónomos,Solo visualizador,0
HIST-207,9,14,sector_privado,nula,Abogado,76,0,Otro,Organismos Autónomos,Otro,0
HIST-208,8,20,independiente,media,Administrador,55,1,Cusco,Organismos Autónomos,Otro,1
HIST-209,1,4,sector_publico,media,Medico,32,0,Arequipa,Otro,Solo visualizador,0
HIST-210,10,13,sector_privado,media,Ingeniero,96,1,Otro,Ministerios/Poder Ejecutivo,Postulante frecuente,1
HIST-211,5,10,sector_publico,nula,Contador,53,0,Arequipa,Organismos Autónomos,Finalista/Seleccionado,1
HIST-212,2,20,independiente,media,Abogado,15,1,Callao,Municipalidades,Otro,0
HIST-213,10,17,sector_privado,nula,Economista,73,0,Lima,Ministerios/Poder Ejecutivo,Postulante frecuente,1
HIST-214,1,11,independiente,nula,Otro,59,0,Cusco,Municipalidades,Otro,0
HIST-215,1,8,independiente,nula,Arquitecto,68,1,Cusco,Organismos Autónomos,Otro,0
HIST-216,9,14,sector_privado,media,Arquitecto,173,1,Piura,Organismos Autónomos,Otro,1
HIST-217,8,13,sector_privado,alta,Administrador,43,1,Callao,Otro,Otro,1
HIST-218,4,5,sector_privado,media,Administrador,46,1,Cusco,Municipalidades,Otro,1
HIST-219,9,3,independiente,nula,Ingeniero,154,1,Lima,Municipalidades,Otro,1
HIST-220,2,6,sector_privado,media,Arquitecto,118,1,Arequipa,Otro,Postulante frecuente,0
HIST-221,0,15,independiente,nula,Medico,76,1,Piura,Otro,Finalista/Seleccionado,0
HIST-222,10,10,sector_publico,media,Ingeniero,178,0,Cusco,Municipalidades,Solo visualizador,1
HIST-223,0,19,sector_publico,nula,Contador,119,0,Otro,Ministerios/Poder Ejecutivo,Postulante frecuente,0
HIST-224,10,4,independiente,alta,Arquitecto,24,0,Piura,Organismos Autónomos,Otro,0
HIST-225,2,1,sector_publico,nula,Medico,56,1,Callao,Ministerios/Poder Ejecutivo,Postulante frecuente,0
HIST-226,5,11,sector_publico,alta,Otro,111,0,Otro,Organismos Autónomos,Solo visualizador,1
HIST-227,7,11,independiente,media,Arquitecto,136,0,Callao,Organismos Autónomos,Solo visualizador,0
HIST-228,2,10,sector_privado,alta,Arquitecto,106,0,Arequipa,Organismos Autónomos,Postulante frecuente,0
HIST-229,7,16,sector_privado,nula,Economista,42,1,Arequipa,Organismos Autónomos,Postulante frecuente,1
HIST-230,4,8,sector_privado,nula,Contador,140,1,Otro,Otro,Otro,1
HIST-231,0,10,independiente,alta,Economista,153,1,Lima,Gobierno Regional,Solo visualizador,0
HIST-232,0,1,independiente,alta,Economista,155,0,Arequipa,Ministerios/Poder Ejecutivo,Postulante frecuente,0
HIST-233,1,9,sector_privado,nula,Administrador,97,1,Arequipa,Organismos Autónomos,Solo visualizador,0
HIST-234,7,5,sector_publico,nula,Arquitecto,180,1,Otro,Municipalidades,Postulante frecuente,1
HIST-235,0,19,sector_privado,alta,Arquitecto,99,0,Piura,Organismos Autónomos,Postulante frecuente,0
HIST-236,9,4,sector_privado,media,Economista,89,0,Arequipa,Ministerios/Poder Ejecutivo,Postulante frecuente,0
HIST-237,9,17,sector_privado,media,Medico,176,1,Cusco,Organismos Autónomos,Finalista/Seleccionado,1
HIST-238,8,15,sector_publico,nula,Arquitecto,120,0,Lima,Organismos Autónomos,Finalista/Seleccionado,0
HIST-239,6,16,sector_publico,media,Contador,10,1,Piura,Gobierno Regional,Finalista/Seleccionado,1
HIST-240,7,5,sector_privado,media,Ingeniero,79,1,Lima,Organismos Autónomos,Solo visualizador,1
HIST-241,10,13,sector_privado,media,Medico,133,0,Callao,Gobierno Regional,Otro,0
HIST-242,3,0,sector_publico,media,Ingeniero,124,1,Callao,Gobierno Regional,Postulante frecuente,1
HIST-243,5,17,sector_publico,media,Arquitecto,50,0,Piura,Otro,Otro,1
HIST-244,1,16,sector_publico,media,Administrador,134,0,Cusco,Organismos Autónomos,Otro,0
HIST-245,6,8,sector_privado,alta,Arquitecto,167,0,Otro,Gobierno Regional,Finalista/Seleccionado,0
HIST-246,5,5,sector_privado,media,Ingeniero,27,1,Otro,Ministerios/Poder Ejecutivo,Solo visualizador,1
HIST-247,8,1,sector_privado,alta,Contador,67,0,Cusco,Organismos Autónomos,Finalista/Seleccionado,0
HIST-248,5,7,sector_privado,alta,Economista,103,1,Cusco,Ministerios/Poder Ejecutivo,Solo visualizador,1
HIST-249,3,19,sector_publico,nula,Abogado,132,0,Otro,Organismos Autónomos,Solo visualizador,1
HIST-250,6,4,sector_publico,media,Economista,110,1,Piura,Organismos Autónomos,Otro,1
HIST-251,2,20,sector_privado,alta,Administrador,115,1,Callao,Municipalidades,Solo visualizador,0
HIST-252,8,0,independiente,alta,Arquitecto,71,0,Arequipa,Otro,Finalista/Seleccionado,0
HIST-253,0,4,independiente,media,Profesor,20,1,Cusco,Ministerios/Poder Ejecutivo,Postulante frecuente,0
HIST-254,3,17,sector_privado,alta,Administrador,178,0,Arequipa,Otro,Solo visualizador,0
HIST-255,0,4,sector_publico,alta,Arquitecto,136,0,Piura,Municipalidades,Solo visualizador,0
HIST-256,3,20,sector_privado,nula,Profesor,129,1,Callao,Organismos Autónomos,Solo visualizador,1
HIST-257,10,5,sector_publico,media,Ingeniero,43,1,Callao,Municipalidades,Finalista/Seleccionado,1
HIST-258,2,6,sector_publico,nula,Contador,111,1,Piura,Otro,Solo visualizador,1
HIST-259,10,3,independiente,alta,Economista,120,1,Piura,Otro,Postulante frecuente,1
HIST-260,9,9,sector_publico,alta,Abogado,32,0,Cusco,Ministerios/Poder Ejecutivo,Solo visualizador,1
HIST-261,4,2,sector_privado,media,Ingeniero,155,1,Otro,Municipalidades,Otro,1
HIST-262,1,5,sector_privado,alta,Contador,50,1,Cusco,Gobierno Regional,Postulante frecuente,0
HIST-263,6,16,sector_privado,media,Economista,78,0,Piura,Organismos Autónomos,Finalista/Seleccionado,0
HIST-264,8,0,sector_publico,alta,Abogado,95,1,Otro,Municipalidades,Solo visualizador,1
HIST-265,4,17,independiente,alta,Arquitecto,97,1,Arequipa,Otro,Postulante frecuente,1
HIST-266,9,16,sector_publico,nula,Medico,125,1,Cusco,Municipalidades,Otro,1
HIST-267,1,16,sector_privado,nula,Administrador,3,1,Cusco,Municipalidades,Solo visualizador,0
HIST-268,8,11,sector_publico,nula,Administrador,43,1,Piura,Otro,Solo visualizador,1
